descUF;massa final;massa grossa;massa integral;massa tradicional
Acre;1.0;1.0;0.0;0.0
Alagoas;5.0;0.0;0.0;7.0
Amapá;1.0;0.0;0.0;0.0
Amazonas;0.0;0.0;0.0;4.0
Bahia;14.0;4.0;3.0;22.0
Ceará;12.0;6.0;0.0;26.0
Distrito Federal;13.0;2.0;0.0;18.0
Espírito Santo;8.0;5.0;0.0;19.0
Goiás;10.0;2.0;1.0;22.0
Maranhão;4.0;0.0;0.0;4.0
Mato Grosso;2.0;1.0;0.0;8.0
Mato Grosso do Sul;2.0;1.0;0.0;3.0
Minas Gerais;23.0;6.0;2.0;61.0
Paraná;24.0;9.0;2.0;41.0
Paraíba;8.0;0.0;0.0;7.0
Pará;4.0;0.0;0.0;3.0
Pernambuco;17.0;1.0;2.0;27.0
Piauí;0.0;1.0;0.0;4.0
Rio Grande do Norte;5.0;1.0;0.0;11.0
Rio Grande do Sul;20.0;4.0;1.0;25.0
Rio de Janeiro;37.0;14.0;2.0;50.0
Rondônia;3.0;0.0;0.0;3.0
Roraima;1.0;1.0;0.0;0.0
Santa Catarina;18.0;0.0;1.0;27.0
Sergipe;5.0;2.0;2.0;2.0
São Paulo;109.0;47.0;17.0;222.0
Tocantins;0.0;0.0;0.0;3.0
