idPedido,descTipoItem,descItem
0,bebida,refrigerante
0,borda,borda tradicional
0,ingrediente 1,pepperoni
0,ingrediente 2,orégano
0,ingrediente 3,frango
0,ingrediente 4,calabresa
0,ingrediente 5,bacon
0,massa,massa final
0,queijo 1,mussarela
0,queijo 2,provolone
1,bebida,refrigerante
1,borda,cheddar
1,ingrediente 1,pepperoni
1,ingrediente 2,tomate
1,ingrediente 3,presunto
1,ingrediente 4,palmito
1,ingrediente 5,bacon
1,massa,massa tradicional
1,queijo 1,mussarela
1,queijo 2,provolone
2,bebida,cerveja
2,borda,sabor catupiry
2,ingrediente 1,pepperoni
2,ingrediente 2,pimenta biquinho
2,ingrediente 3,linguiça calabresa defumada
2,ingrediente 4,cogumelos
2,ingrediente 5,alho-poró
2,massa,massa final
2,queijo 1,mussarela
2,queijo 2,catupiry
3,bebida,refrigerante
3,borda,cheddar
3,ingrediente 1,cebola
3,ingrediente 2,pimenta calabresa
3,ingrediente 3,calabresa
3,massa,massa tradicional
3,queijo 1,mussarela
4,bebida,suco de laranja
4,borda,borda tradicional
4,ingrediente 1,pepperoni
4,ingrediente 2,tomate
4,ingrediente 3,cogumelos
4,ingrediente 4,cebola caramelizada
4,ingrediente 5,azeitona
4,massa,massa grossa
4,queijo 1,provolone
4,queijo 2,gorgonzola
5,bebida,suco de laranja
5,borda,cream cheese
5,ingrediente 1,cebola
5,ingrediente 2,tomate
5,ingrediente 3,azeitona
5,massa,massa tradicional
5,queijo 1,mussarela
5,queijo 2,provolone
6,bebida,suco de laranja
6,borda,sabor catupiry
6,ingrediente 1,presunto
6,ingrediente 2,orégano
6,ingrediente 3,milho
6,ingrediente 4,azeitona
6,massa,massa grossa
6,queijo 1,mussarela
6,queijo 2,catupiry
7,bebida,cerveja
7,borda,cream cheese
7,ingrediente 1,presunto
7,ingrediente 2,tomate
7,ingrediente 3,rúcula
7,ingrediente 4,orégano
7,ingrediente 5,bacon
7,massa,massa tradicional
7,queijo 1,mussarela
7,queijo 2,cheddar
8,bebida,refrigerante
8,borda,borda tradicional
8,ingrediente 1,pepperoni
8,ingrediente 2,tomate seco
8,ingrediente 3,presunto
8,ingrediente 4,carne seca
8,ingrediente 5,bacon
8,massa,massa final
8,queijo 1,mussarela
8,queijo 2,queijo coalho
9,bebida,água com gás
9,borda,sabor catupiry
9,ingrediente 1,pepperoni
9,ingrediente 2,linguiça calabresa defumada
9,ingrediente 3,carne seca
9,ingrediente 4,camarão
9,ingrediente 5,alho-poró
9,massa,massa final
9,queijo 1,mussarela
9,queijo 2,gorgonzola
10,bebida,refrigerante
10,borda,cheddar
10,ingrediente 1,orégano
10,ingrediente 2,tomate seco
10,ingrediente 3,pimenta biquinho
10,ingrediente 4,carne seca
10,ingrediente 5,alho-poró
10,massa,massa grossa
10,queijo 1,mussarela
10,queijo 2,parmesão
11,bebida,água com gás
11,borda,cheddar
11,ingrediente 1,presunto
11,ingrediente 2,tomate
11,ingrediente 3,milho
11,ingrediente 4,linguiça calabresa defumada
11,ingrediente 5,bacon
11,massa,massa tradicional
11,queijo 1,mussarela
11,queijo 2,catupiry
12,bebida,cerveja
12,borda,cream cheese
12,ingrediente 1,presunto
12,ingrediente 2,tomate
12,ingrediente 3,orégano
12,ingrediente 4,cebola
12,ingrediente 5,bacon
12,massa,massa integral
12,queijo 1,mussarela
12,queijo 2,queijo brie
13,bebida,vinho tinto
13,borda,sabor catupiry
13,ingrediente 1,pepperoni
13,ingrediente 2,queijo roquefort
13,ingrediente 3,cogumelos
13,ingrediente 4,carne seca
13,ingrediente 5,camarão
13,massa,massa final
13,queijo 1,provolone
13,queijo 2,gorgonzola
14,bebida,suco de laranja
14,borda,sabor catupiry
14,ingrediente 1,pepperoni
14,ingrediente 2,orégano
14,ingrediente 3,cebola
14,ingrediente 4,carne seca
14,ingrediente 5,bacon
14,massa,massa final
14,queijo 1,mussarela
14,queijo 2,catupiry
15,bebida,suco de uva
15,borda,sabor catupiry
15,ingrediente 1,azeitona
15,ingrediente 2,brócolis
15,ingrediente 3,palmito
15,ingrediente 4,orégano
15,ingrediente 5,azeite de oliva
15,massa,massa tradicional
15,queijo 1,mussarela
15,queijo 2,catupiry
16,bebida,cerveja
16,borda,sabor catupiry
16,ingrediente 1,tomate
16,massa,massa tradicional
16,queijo 1,mussarela
16,queijo 2,gorgonzola
17,bebida,refrigerante
17,borda,borda tradicional
17,ingrediente 1,cogumelos
17,ingrediente 2,palmito
17,ingrediente 3,abacaxi
17,massa,massa grossa
17,queijo 1,mussarela
17,queijo 2,queijo brie
18,bebida,refrigerante
18,borda,borda tradicional
18,ingrediente 1,cogumelos
18,ingrediente 2,palmito
18,ingrediente 3,ovo
18,ingrediente 4,cebola
18,ingrediente 5,ervilha
18,massa,massa tradicional
18,queijo 1,mussarela
18,queijo 2,queijo brie
19,bebida,refrigerante
19,borda,borda tradicional
19,ingrediente 1,cebola
19,ingrediente 2,calabresa
19,ingrediente 3,pimentão
19,ingrediente 4,tomate
19,ingrediente 5,orégano
19,massa,massa tradicional
19,queijo 1,mussarela
20,bebida,suco de maracujá
20,borda,sabor catupiry
20,ingrediente 1,frango
20,ingrediente 2,bacon
20,ingrediente 3,pepperoni
20,ingrediente 4,calabresa
20,ingrediente 5,cebola
20,massa,massa final
20,queijo 1,mussarela
20,queijo 2,parmesão
21,bebida,suco de laranja
21,borda,borda tradicional
21,ingrediente 1,alho
21,ingrediente 2,pepperoni
21,ingrediente 3,cogumelos
21,ingrediente 4,alho-poró
21,ingrediente 5,tomate seco
21,massa,massa final
21,queijo 1,mussarela
21,queijo 2,provolone
22,bebida,vinho tinto
22,borda,sabor catupiry
22,ingrediente 1,pepperoni
22,ingrediente 2,milho
22,ingrediente 3,tomate seco
22,ingrediente 4,azeitona
22,ingrediente 5,queijo cheddar
22,massa,massa final
22,queijo 1,mussarela
22,queijo 2,parmesão
23,bebida,refrigerante
23,borda,borda tradicional
23,ingrediente 1,calabresa
23,ingrediente 2,orégano
23,ingrediente 3,pimenta calabresa
23,ingrediente 4,linguiça calabresa defumada
23,ingrediente 5,azeite de oliva
23,massa,massa grossa
23,queijo 1,mussarela
23,queijo 2,catupiry
24,bebida,refrigerante
24,borda,borda tradicional
24,ingrediente 1,tomate
24,ingrediente 2,pimentão
24,ingrediente 3,cogumelos
24,ingrediente 4,palmito
24,ingrediente 5,rúcula
24,massa,massa final
24,queijo 1,mussarela
24,queijo 2,provolone
25,bebida,chá gelado
25,borda,cream cheese
25,ingrediente 1,calabresa
25,ingrediente 2,orégano
25,ingrediente 3,bacon
25,ingrediente 4,cebola
25,ingrediente 5,alho
25,massa,massa grossa
25,queijo 1,mussarela
25,queijo 2,queijo brie
26,bebida,vinho tinto
26,borda,borda tradicional
26,ingrediente 1,milho
26,ingrediente 2,bacon
26,ingrediente 5,pepperoni
26,massa,massa final
26,queijo 1,parmesão
27,bebida,vinho tinto
27,borda,sabor catupiry
27,ingrediente 1,camarão
27,ingrediente 2,pepperoni
27,ingrediente 3,tomate seco
27,ingrediente 4,orégano
27,ingrediente 5,cebola
27,massa,massa tradicional
27,queijo 1,parmesão
27,queijo 2,queijo brie
28,bebida,vinho tinto
28,borda,sabor catupiry
28,ingrediente 1,pepperoni
28,ingrediente 2,tomate
28,ingrediente 3,alho
28,ingrediente 4,bacon
28,ingrediente 5,linguiça calabresa defumada
28,massa,massa tradicional
28,queijo 1,mussarela
28,queijo 2,provolone
29,bebida,refrigerante
29,borda,sabor catupiry
29,ingrediente 1,pepperoni
29,ingrediente 2,calabresa
29,ingrediente 3,cebola
29,ingrediente 4,queijo cheddar
29,ingrediente 5,alho
29,massa,massa final
29,queijo 1,mussarela
29,queijo 2,parmesão
30,bebida,chá gelado
30,borda,cream cheese
30,ingrediente 1,mel
30,ingrediente 2,cebola caramelizada
30,ingrediente 3,alho
30,ingrediente 4,linguiça calabresa defumada
30,ingrediente 5,pimenta calabresa
30,massa,massa tradicional
30,queijo 1,mussarela
30,queijo 2,gorgonzola
31,borda,borda tradicional
31,ingrediente 1,bacon
31,ingrediente 2,tomate
31,ingrediente 3,frango
31,ingrediente 4,berinjela
31,ingrediente 5,abobrinha
31,massa,massa tradicional
31,queijo 1,mussarela
32,bebida,refrigerante
32,borda,borda tradicional
32,ingrediente 1,queijo coalho grelhado
32,ingrediente 2,pepperoni
32,ingrediente 3,presunto
32,ingrediente 4,alho
32,ingrediente 5,orégano
32,massa,massa tradicional
32,queijo 1,mussarela
32,queijo 2,parmesão
33,bebida,cerveja
33,borda,borda tradicional
33,ingrediente 1,frango
33,ingrediente 2,azeitona
33,ingrediente 3,pimentão
33,ingrediente 4,bacon
33,ingrediente 5,cebola
33,massa,massa tradicional
33,queijo 1,mussarela
33,queijo 2,catupiry
34,bebida,suco de abacaxi
34,borda,sabor catupiry
34,ingrediente 1,alcaparra
34,ingrediente 2,cogumelos
34,ingrediente 3,tomate
34,ingrediente 4,lentilha
34,ingrediente 5,palmito
34,massa,massa final
34,queijo 1,mussarela
34,queijo 2,gorgonzola
35,bebida,cerveja
35,borda,borda tradicional
35,ingrediente 1,calabresa
35,ingrediente 2,pepperoni
35,massa,massa final
35,queijo 1,mussarela
35,queijo 2,parmesão
36,bebida,refrigerante
36,borda,cream cheese
36,ingrediente 1,cebola
36,ingrediente 2,bacon
36,ingrediente 3,rúcula
36,ingrediente 4,orégano
36,ingrediente 5,calabresa
36,massa,massa final
36,queijo 1,parmesão
36,queijo 2,mussarela
37,bebida,refrigerante
37,borda,sabor catupiry
37,ingrediente 1,calabresa
37,ingrediente 2,presunto
37,ingrediente 3,tomate
37,ingrediente 4,alho
37,ingrediente 5,cebola
37,massa,massa tradicional
37,queijo 1,mussarela
37,queijo 2,cheddar
38,bebida,vinho tinto
38,borda,borda tradicional
38,ingrediente 1,cogumelos
38,ingrediente 2,carne seca
38,ingrediente 3,azeite de oliva
38,ingrediente 4,presunto
