idPedido,dtPedido,flKetchup,descUF,txtRecado
0,2023-05-11T10:59:33.000+0000,null,Goiás,null
1,2023-05-11T11:23:42.000+0000,null,Paraná,Aquela pizza perfeita! :-D
2,2023-05-11T11:24:29.000+0000,null,São Paulo,Muito obrigado!!
3,2023-05-11T11:29:39.000+0000,null,São Paulo,null
4,2023-05-11T11:31:30.000+0000,null,Rio Grande do Sul,Capricha no peperoni
5,2023-05-11T11:32:44.000+0000,null,São Paulo,null
6,2023-05-11T11:47:54.000+0000,null,Ceará,Espero que não dropem minha pizza ^^
7,2023-05-11T11:52:31.000+0000,null,São Paulo,Forno a lenha por favor.
8,2023-05-11T12:01:49.000+0000,null,Goiás,null
9,2023-05-11T12:18:25.000+0000,true,Rio de Janeiro,null
10,2023-05-11T12:19:47.000+0000,true,Goiás,"Amo vocês, quero dividir a pizza com vocês ♥️"
11,2023-05-11T12:45:48.000+0000,true,Minas Gerais,Certeza que vai ser um evento sensacional como todos os que participei desde quando conheci a LinuxTips. #Vai!!!
12,2023-05-11T12:56:52.000+0000,false,São Paulo,Show
13,2023-05-11T13:05:24.000+0000,false,Rio Grande do Sul,Vocês são sensacionais <3
14,2023-05-11T13:33:49.000+0000,true,São Paulo,Espero que esta pizza esteja tão boa quanto as outras que vocês servem para comunidade
15,2023-05-11T14:19:14.000+0000,false,São Paulo,Capricha!
16,2023-05-11T14:47:39.000+0000,false,São Paulo,#VAIIII <3
17,2023-05-11T15:16:49.000+0000,false,São Paulo,Quero um evento de pizzas mesmo hahaha ia ser mto mara
18,2023-05-11T15:36:52.000+0000,true,Santa Catarina,null
19,2023-05-11T15:48:08.000+0000,true,Bahia,"Aguardando muito esse treinamento. O Téo tem uma excelente didática e o Jeferson como sempre proporcionando conteúdo para os famintos por conhecimento, rs."
20,2023-05-11T16:40:11.000+0000,true,São Paulo,Brilhem e #VAAAAIIIIIII vocês são fodas
21,2023-05-11T16:45:29.000+0000,false,Alagoas,Capricha no peperoni
22,2023-05-11T17:05:02.000+0000,true,São Paulo,capricha no queijo :)
23,2023-05-11T17:22:38.000+0000,true,Paraná,null
24,2023-05-11T17:41:33.000+0000,false,Paraná,null
25,2023-05-11T18:02:37.000+0000,true,Rio de Janeiro,null
26,2023-05-11T18:55:53.000+0000,false,Rio de Janeiro,Gostosa demais!!!
27,2023-05-11T19:45:59.000+0000,true,Bahia,Cuidado com o ponto do camarão.
28,2023-05-11T21:33:08.000+0000,false,Minas Gerais,TOP
29,2023-05-12T01:09:17.000+0000,false,São Paulo,Estou com uma festa em casa e o pessoal está cheio de fome. Preciso o mais rápido que possível a pizza é bem recheada. Rápido rápido eles estão aguardando ansiosos!
30,2023-05-12T09:56:30.000+0000,true,São Paulo,null
31,2023-05-12T15:13:58.000+0000,false,Santa Catarina,Poderia ter borda de chocolate! Hahaha
32,2023-05-12T15:17:59.000+0000,true,Rio de Janeiro,null
33,2023-05-12T15:34:37.000+0000,false,Minas Gerais,null
34,2023-05-12T15:34:45.000+0000,true,Distrito Federal,null
35,2023-05-12T15:45:07.000+0000,true,Distrito Federal,Vocês são FOOOODAS!
36,2023-05-12T15:48:02.000+0000,false,Paraíba,vaiiii!
37,2023-05-12T15:48:17.000+0000,true,Rio Grande do Sul,null
38,2023-05-12T15:55:35.000+0000,false,Bahia,Quero saber qual é a forma definitiva da pronúncia de SQL! Abraço!
39,2023-05-12T16:07:08.000+0000,false,Distrito Federal,João 3.16
40,2023-05-12T16:19:19.000+0000,true,Paraná,null
41,2023-05-12T16:27:09.000+0000,false,Distrito Federal,Vocês são demais!
42,2023-05-12T16:35:59.000+0000,false,São Paulo,null
43,2023-05-12T16:52:02.000+0000,true,São Paulo,"Vocês são massa demais, inspiração!"
44,2023-05-12T17:06:11.000+0000,true,Santa Catarina,null
45,2023-05-12T17:13:16.000+0000,true,Paraná,Tu vai acabar em Pizza !!!
46,2023-05-12T18:24:24.000+0000,true,São Paulo,Capricha no queijo!
47,2023-05-12T18:35:58.000+0000,false,São Paulo,Capricha no bacon
48,2023-05-12T18:48:00.000+0000,true,Mato Grosso do Sul,Eu moro em Lisboa
49,2023-05-12T19:05:08.000+0000,true,Piauí,Muito bacana essa interação!!! Sucesso!!
50,2023-05-12T19:08:02.000+0000,true,São Paulo,null
51,2023-05-12T19:21:02.000+0000,true,Goiás,Muito queijo por favor
52,2023-05-12T19:50:08.000+0000,true,São Paulo,Sucesso!
53,2023-05-12T19:53:51.000+0000,true,São Paulo,Sem cebola rsrsrs
54,2023-05-12T20:22:35.000+0000,false,São Paulo,null
55,2023-05-12T20:47:23.000+0000,false,São Paulo,"Voces sao fera, tamo junto!"
56,2023-05-12T20:49:42.000+0000,true,Santa Catarina,"Entrega na portaria, por favor"
57,2023-05-12T20:54:45.000+0000,true,Rio Grande do Sul,Os cursos mais fodas estão aqui na LinuxTips!
58,2023-05-12T20:55:57.000+0000,false,São Paulo,null
59,2023-05-12T21:09:39.000+0000,true,Rio Grande do Sul,Vaiiiiii
60,2023-05-12T21:22:54.000+0000,false,Espírito Santo,VAIIIII
61,2023-05-12T21:23:58.000+0000,false,Rio de Janeiro,null
62,2023-05-12T21:38:00.000+0000,true,Santa Catarina,"Parabéns pela dinâmica, deixa ainda mais divertida a tal ""arte de aprender"". Show!!"
