descItem,vlPreco
abacate,5.25
abacaxi,2.5
abobrinha,2
alcaparra,3
alho,1
alho-poró,2.5
amêndoas,3.5
anchova,4
anchova em conserva,4.5
atum,4
azeite de oliva,2
azeitona,1.5
bacon,3
berinjela,2
beterraba,2.5
borda tradicional,0
brócolis,2.5
calabresa,3.5
camarão,6
carne moída,4
carne seca,5
castanhas,4.75
catupiry,7.5
cebola,1.5
cebola caramelizada,2.5
cebolinha,1
cereja,3.8
cerveja,6.75
cheddar,8.45
chá gelado,6
cogumelos,2
cream cheese,9
ervilha,1.5
espinafre,2.5
frango,3.5
gorgonzola,9.5
grão de bico,2.5
lentilha,2.5
limonada,5
linguiça,3.5
linguiça calabresa defumada,4
massa final,7
massa grossa,12
massa integral,13.75
massa tradicional,9.25
mel,2
milho,1.5
mussarela,6
nozes,3.5
orégano,1
ovo,2.5
palmito,3
parmesão,7
pepperoni,3.5
picles,1.5
pimenta biquinho,2
pimenta calabresa,1.5
pimentão,1.5
pimentão assado,2
presunto,2.5
provolone,7
pêssego,2.5
queijo brie,11.25
queijo cheddar,4
queijo coalho,10.5
queijo coalho grelhado,4
queijo de cabra,4.5
queijo feta,4
queijo gouda,3.5
queijo roquefort,5
refrigerante,7.25
ricota,10.25
rúcula,2
sabor catupiry,5
salsinha,1
suco de abacaxi,6.5
suco de laranja,6
suco de maracujá,6.5
suco de uva,5.75
tofu,2.5
tomate,1.5
tomate seco,6.25
uva passa,3.75
vinho tinto,12
água com gás,5
